"","Zipcode","source","avg_lead_level"
"189",11231,"compliance",0.00408333333333333
"190",11231,"free residential",0.0142964169381107
"191",11232,"compliance",0.0069
"192",11232,"free residential",0.000948051948051948
"193",11233,"compliance",0.0065
"194",11233,"free residential",0.0121036269430052
"195",11234,"compliance",0.00467241379310345
"196",11234,"free residential",0.00525
"197",11235,"free residential",0.00122018348623853
"198",11236,"compliance",0.0022
"199",11236,"free residential",0.000907407407407408
"200",11237,"free residential",0.00145864661654135
"201",11238,"compliance",0.004
"202",11238,"free residential",0.00233909287257019
"203",11239,"free residential",0
"204",11241,"free residential",0
"205",11242,"free residential",0
"206",11249,"free residential",0.00103921568627451
"207",11354,"compliance",0.00609090909090909
"208",11354,"free residential",0.000895833333333333
"209",11355,"compliance",0.002
"210",11355,"free residential",0.000515625
"211",11356,"compliance",0.0108
"212",11356,"free residential",0.00645454545454545
"213",11357,"compliance",0.00776923076923077
"214",11357,"free residential",0.00710344827586207
"215",11358,"compliance",0.0678809523809523
"216",11358,"free residential",0.00338961038961039
"217",11360,"compliance",0.000777777777777778
"218",11360,"free residential",0.000454545454545455
"219",11361,"compliance",0.00375
"220",11361,"free residential",0.00896825396825397
"221",11362,"compliance",0.00528571428571429
"222",11362,"free residential",0.00072972972972973
"223",11363,"compliance",0.0057
"224",11363,"free residential",0.00166666666666667
"225",11364,"compliance",0.0015
"226",11364,"free residential",0.000481481481481481
"227",11365,"compliance",4e-04
"228",11365,"free residential",0.000677966101694915
"229",11366,"free residential",8e-04
"230",11367,"free residential",0.00264179104477612
"231",11368,"compliance",0.00375
"232",11368,"free residential",0.00222641509433962
"233",11369,"compliance",0.0108
"234",11369,"free residential",0.00145454545454545
"235",11370,"free residential",0.000756756756756757
"236",11372,"compliance",0.00745454545454546
"237",11372,"free residential",0.00172037914691943
"238",11373,"compliance",0.0265555555555556
"239",11373,"free residential",0.00246666666666667
"240",11374,"compliance",0.00663636363636364
"241",11374,"free residential",0.00297647058823529
"242",11375,"compliance",0.00618181818181819
"243",11375,"free residential",0.00405111821086261
"244",11377,"compliance",0.00491304347826087
"245",11377,"free residential",0.0015448275862069
"246",11378,"compliance",0.00563636363636364
"247",11378,"free residential",0.00308333333333333
"248",11379,"compliance",0.0115
"249",11379,"free residential",0.171717391304348
"250",11385,"compliance",0.00711475409836066
"251",11385,"free residential",0.0152520775623269
"252",11411,"compliance",0.00266666666666667
"253",11411,"free residential",0.00535
"254",11412,"compliance",0.00432142857142857
"255",11412,"free residential",0.00202439024390244
"256",11413,"compliance",0.001125
"257",11413,"free residential",0.00781818181818182
"258",11414,"compliance",0
"259",11414,"free residential",0.000428571428571429
"260",11415,"compliance",0.024695652173913
"261",11415,"free residential",0.00476
"262",11416,"compliance",0.002
"263",11416,"free residential",5e-04
"264",11417,"compliance",0.004375
"265",11417,"free residential",0.00952777777777778
"266",11418,"compliance",0.00325
"267",11418,"free residential",0.000666666666666667
"268",11419,"compliance",0.002
"269",11419,"free residential",0.00118181818181818
"270",11420,"compliance",0.00246153846153846
"271",11420,"free residential",0.000789473684210527
"272",11421,"compliance",0.033
"273",11421,"free residential",0.00173076923076923
"274",11422,"free residential",0.00307692307692308
"275",11423,"compliance",0.0045
"276",11423,"free residential",0.00256
"277",11426,"compliance",0.003
"278",11426,"free residential",0.00616981132075472
"279",11427,"compliance",0.0187777777777778
"280",11427,"free residential",0.000714285714285714
"281",11428,"compliance",0.003
"282",11428,"free residential",0.0012
"283",11429,"free residential",0.00707407407407407
"284",11432,"compliance",0.0123333333333333
"285",11432,"free residential",0.00398507462686567
"286",11433,"compliance",0
"287",11433,"free residential",0.000346153846153846
"288",11434,"compliance",0.003375
"289",11434,"free residential",0.00285365853658537
"290",11435,"compliance",0.0025
"291",11435,"free residential",0.00186153846153846
"292",11436,"free residential",0.0067
"293",11691,"compliance",0.00103225806451613
"294",11691,"free residential",0.00173809523809524
"295",11692,"free residential",0.000857142857142857
"296",11693,"compliance",0
"297",11693,"free residential",0.00164285714285714
"298",11694,"compliance",0.0018
"299",11694,"free residential",0.000766666666666667
"300",11697,"free residential",0.0014
